id 2gis;id родителя;Наименование;Емайл;Телефон1;Телефон2;Сайт;Соц. сети VK;Соц. сети одноклассники;Соц. сети Insagram;Соц. сети Facebook;Соц. сети youtube;Адрес;Долгота;Широта;geometry
70000001033398100;70000001033296500;ТПК-19;;79135447410;79233941630;;;;;;;Россия, Республика Хакасия, Черногорск, Промышленная улица, 1;91.328005;53.816606;POINT(91.328005 53.816606)
70000001033747300;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79233992784;;втормет24.рф;;;;;;Россия, Республика Хакасия, Черногорск, Инициативная улица, 95Б;91.304739;53.837428;POINT(91.304739 53.837428)
70000001036012300;70000001036012300;ХАКМЕТПРОМ;;79061924163;;;;;;;;Россия, Республика Хакасия, Черногорск, Базарная улица, 13;91.292369;53.817696;POINT(91.292369 53.817696)
70000001039725100;70000001039725100;УВЦМ;;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, Абакан, Заводская улица, 6;91.375831;53.708997;POINT(91.375831 53.708997)
70000001039725200;70000001039725100;УВЦМ;;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, Черногорск, Линейная улица, 12Бк1;91.342872;53.823378;POINT(91.342872 53.823378)
9711414977504540;9711423567438610;Ресурсы Сибири, компания по приему металлолома;;73902265152;;;;;;;;Россия, Республика Хакасия, Абакан, Советская улица, 73;91.428571;53.719143;POINT(91.428571 53.719143)
70000001039725200;70000001039725100;УВЦМ;;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, Абакан, улица Гагарина, 3;91.424179;53.702169;POINT(91.424179 53.702169)
9711414977522760;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79029244934;;втормет24.рф;;;;;;Россия, Республика Хакасия, Абакан, Игарская улица, 8к3;91.389557;53.709221;POINT(91.389557 53.709221)
9711414977522760;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79020104641;;втормет24.рф;;;;;;Россия, Республика Хакасия, Абакан, Кирпичная улица, 21;91.514935;53.683679;POINT(91.514935 53.683679)
9711415977821130;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79233713618;;втормет24.рф;;;;;;Россия, Красноярский край, городской округ Минусинск, рабочий посёлок Зелёный Бор, улица Берег Енисея, 7;91.613184;53.613628;POINT(91.613184 53.613628)
9711414977522840;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79233537633;;втормет24.рф;;;;;;Россия, Республика Хакасия, Алтайский район, село Белый Яр, улица Ленина, 273;91.406536;53.615695;POINT(91.406536 53.615695)
70000001006967200;70000001006967200;ИнтерМетТрейд;;79874050344;;www.imt-rt.ru;;;;;;Россия, Республика Татарстан, Альметьевск, Объездной тракт, 39;52.305665;54.874061;POINT(52.305665 54.874061)
70000001007276800;70000001007276800;Ег Дан;;79274916180;;;;;;;;Россия, Республика Татарстан, Альметьевск, Индустриальная улица, 10;52.303922;54.889692;POINT(52.303922 54.889692)
70000001007039100;70000001006913800;Втормет;;79872855939;;gkvtormet.ru;;;;;;Россия, Республика Татарстан, Альметьевск, Объездная улица, 89Б;52.2474;54.886647;POINT(52.2474 54.886647)
70000001025028100;70000001025028100;ТАТСТАЛЬ;;79178581100;79872222000;;;;;;;Россия, Республика Татарстан, Альметьевск, Объездная улица, 16;52.287762;54.88484;POINT(52.287762 54.88484)
70000001030841300;70000001018226100;Втормет-Актив;;78553351828;;;;;;;;Россия, Республика Татарстан, Альметьевск, Бугульминский тракт;52.443107;54.837711;POINT(52.443107 54.837711)
70000001030841400;70000001018226100;Втормет-Актив;;78553351828;;;;;;;;Россия, Республика Татарстан, Альметьевск, Объездная улица, 16;52.287762;54.88484;POINT(52.287762 54.88484)
70000001031000000;70000001031000000;ВТОРМЕТ-ПЛЮС;;78553400600;79172739090;;;;;;;Россия, Республика Татарстан, Альметьевск, Объездной тракт, 77с1;52.326272;54.876625;POINT(52.326272 54.876625)
70000001033528100;70000001018226100;Втормет-Актив;;78553351828;;;;;;;;Россия, Республика Татарстан, Альметьевск, Объездной тракт;52.30562;54.872212;POINT(52.30562 54.872212)
70000001035953700;70000001006967200;ИнтерМетТрейд;;79874050344;;www.imt-rt.ru;;;;;;Россия, Республика Татарстан, Альметьевск, микрорайон Урсала, Первомайская улица, 66;52.368098;54.921246;POINT(52.368098 54.921246)
70000001035953800;70000001006967200;ИнтерМетТрейд;;79874050344;;www.imt-rt.ru;;;;;;Россия, Республика Татарстан, Альметьевск, Объездной тракт;52.30562;54.872212;POINT(52.30562 54.872212)
70000001037730000;70000001037730000;КАЗАНСКОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ;;79874046454;79196852223;;;;;;;Россия, Республика Татарстан, Альметьевск, Объездной тракт, 55А;52.316454;54.876299;POINT(52.316454 54.876299)
70000001037882300;70000001037882300;Центр приема металлолома;;79869030785;79047168040;;;;;;;Россия, Республика Татарстан, посёлок городского типа Балтаси, улица Сибирский Тракт, 17Б;50.235372;56.333095;POINT(50.235372 56.333095)
70000001038281300;70000001038281300;Пункт приема лома;;79879368659;;;;;https://instagram.com/tatlom116;;;Россия, Республика Татарстан, Альметьевск, Монтажная улица, 2/7;52.283953;54.890225;POINT(52.283953 54.890225)
70000001040129100;70000001038281300;Пункт приема лома;;79869092928;;;;;https://instagram.com/tatlom116;;;Россия, Республика Татарстан, Альметьевск, улица Ризы Фахретдина, 76;52.309438;54.878589;POINT(52.309438 54.878589)
70000001040139100;70000001038281300;Пункт приема лома;;79196892882;;;;;https://instagram.com/tatlom116;;;Россия, Республика Татарстан, Альметьевский район, посёлок городского типа Нижняя Мактама, Промышленная улица, 10;52.422518;54.86629;POINT(52.422518 54.86629)
70000001041301800;70000001041301800;Пункт приема;;79179271100;79274261100;;;;;;;Россия, Республика Татарстан, Альметьевск, Базовая улица, 21;52.289406;54.889288;POINT(52.289406 54.889288)
6896665210389770;6896673800323730;Базис;;79523021166;;;;;;;;Россия, Архангельск, Исакогорский округ, Третья линия, 46;40.602773;64.444186;POINT(40.602773 64.444186)
6896665210391010;6896673800324620;КТА, компания;info@ktagroup.ru;78182430233;79212430233;ktagroup.ru;https://vk.com/ktagroup1;;https://instagram.com/ktagroup;;;Россия, Архангельск, Никольский проспект, 2к5;40.522194;64.568589;POINT(40.522194 64.568589)
6896665210391010;6896673800324620;КТА, компания;info@ktagroup.ru;79218104019;79218199014;ktagroup.ru;https://vk.com/ktagroup1;;https://instagram.com/ktagroup;;;Россия, Архангельск, Дачная улица, 64;40.686631;64.520428;POINT(40.686631 64.520428)
6896665210510770;6896673800362730;ТЭЧ-Сервис;;78185246291;;tech-servis.com;;;;;;Россия, Архангельская область, Новодвинск, улица 50-летия Октября, 41;40.807301;64.418092;POINT(40.807301 64.418092)
6896665210566600;6896673800324620;КТА, компания;info@ktagroup.ru;78184553133;;ktagroup.ru;https://vk.com/ktagroup1;;https://instagram.com/ktagroup;;;Россия, Архангельская область, Северодвинск, Грузовой проезд, 23;39.868822;64.560098;POINT(39.868822 64.560098)
6896665210573830;6896673800411310;Архпромресурс;;79021954600;;arhpromresyrs.ru;https://vk.com/arhpromresyrs29;;;;;Россия, Архангельск, Дачная улица, 59к1;40.676776;64.522495;POINT(40.676776 64.522495)
6896665210611660;6896673800389530;Регион Металл Сервис;;79115891111;;;;;;;;Россия, Архангельск, Талажское шоссе, 1к3;40.550787;64.565557;POINT(40.550787 64.565557)
6896665210705150;6896673800411310;Архпромресурс;;79116836779;;arhpromresyrs.ru;https://vk.com/arhpromresyrs29;;;;;Россия, Архангельская область, Северодвинск, Створный проезд, 11;39.862687;64.54128;POINT(39.862687 64.54128)
70000001007219400;6896673800393410;СевМетПром;;79116842212;;;;;;;;Россия, Архангельск, Исакогорский округ, улица Дрейера, 31к1;40.561612;64.514469;POINT(40.561612 64.514469)
70000001023996200;6896673800411310;Архпромресурс;;79116783307;79539300106;arhpromresyrs.ru;https://vk.com/arhpromresyrs29;;;;;Россия, Архангельск, Исакогорский округ, улица Дрейера, 31;40.562043;64.514276;POINT(40.562043 64.514276)
70000001025898400;6896673800324620;КТА;info@ktagroup.ru;79212430300;;ktagroup.ru;https://vk.com/ktagroup1;;https://instagram.com/ktagroup;;;Россия, Архангельская область, Приморский район, муниципальное образование Лисестровское, территория Зеленоборский промузел Промышленная зона, 12;40.588885;64.434255;POINT(40.588885 64.434255)
70000001026938300;70000001026938300;Грузовой спецназ;;79214967766;+7 (8184) 598878;site54962.tt34.ru;;;;;;Россия, Архангельск, Советская улица, 11;40.519292;64.573695;POINT(40.519292 64.573695)
70000001007419300;70000001006920700;ФЕРРАТЕК;;79888880845;79892888575;ferratek.com;;;;;;Россия, Краснодарский край, Армавир, улица Советской Армии, 208Н;41.111525;44.980214;POINT(41.111525 44.980214)
70000001007179200;70000001006920700;ФЕРРАТЕК;;79888880845;;ferratek.com;;;;;;Россия, Краснодарский край, Новокубанский район, станица Советская, Октябрьская улица, 167;41.172502;44.770983;POINT(41.172502 44.770983)
70000001020339200;70000001020339200;Катион;;;;;;;;;;Россия, Краснодарский край, Армавир, улица Промзона 16;41.085968;45.006093;POINT(41.085968 45.006093)
70000001025058200;70000001006920700;ФЕРРАТЕК;;79888880845;;ferratek.com;;;;;;Россия, Краснодарский край, Армавир, улица Дзержинского, 125;41.128135;44.992173;POINT(41.128135 44.992173)
70000001025058600;70000001006920700;ФЕРРАТЕК;;79888880845;;ferratek.com;;;;;;Россия, Краснодарский край, Новокубанск, улица Нева, 2;40.995355;45.126538;POINT(40.995355 45.126538)
70000001033572000;70000001033572000;Пункт приема;;;;;;;;;;Россия, Краснодарский край, Новокубанск, Урожайная улица, 2/2;41.022636;45.132191;POINT(41.022636 45.132191)
70000001034624600;70000001034624600;Эркат;;;;;;;;;;Россия, Краснодарский край, Армавир;41.129644;44.997655;POINT(41.129644 44.997655)
70000001034632600;70000001007430600;М-Мет;;;;;;;;;;Россия, Краснодарский край, Армавир;41.129644;44.997655;POINT(41.129644 44.997655)
70000001037875900;70000001037875900;Пункт приема;;79186933687;;;;;;;;Россия, Краснодарский край, Новокубанск, Урожайная улица, 2/2;41.022636;45.132191;POINT(41.022636 45.132191)
70000001037967300;70000001037967300;ЛОМ Снабсервис;;79288448808;;;;;;;;Россия, Краснодарский край, Армавир, территория Северная Промзона, 170;41.08047;45.013549;POINT(41.08047 45.013549)
70000001038465400;70000001038465400;Пункт приема металлолома;;;;;;;;;;Россия, Краснодарский край, Армавир, улица Шевченко, 94;41.139956;44.992486;POINT(41.139956 44.992486)
70000001038641200;70000001038641200;Пункт приема металлолома;;;;;;;;;;Россия, Краснодарский край, Армавир, улица Ефремова, 334;41.069439;44.975355;POINT(41.069439 44.975355)
70000001039042700;70000001039042700;Пункт приема металлолома;;;;;;;;;;Россия, Краснодарский край, Армавир, улица Советской Армии, 208;41.109638;44.980016;POINT(41.109638 44.980016)
70000001039112000;70000001039112000;Пункт приема металлолома;;;;;;;;;;Россия, Краснодарский край, Новокубанск, улица Пушкина, 77;41.040172;45.104404;POINT(41.040172 45.104404)
1126428187824380;1126436777758250;ВДВ;;78512251939;+7 (8512) 251200;;;;;;;Россия, Астрахань, улица Савушкина, 47;48.048037;46.360714;POINT(48.048037 46.360714)
70000001041193900;70000001041193900;СнабСервис;;79384310886;79384313245;;;;;;;Россия, Краснодарский край, Армавир, улица Энгельса, 46;41.115343;45.000466;POINT(41.115343 45.000466)
1126428187888220;1126436777808950;Приволжский;;78512621390;+7 (8512) 623696;621390.ru;;;;;;Россия, Астрахань, Славянская улица, 1/12;48.090069;46.360514;POINT(48.090069 46.360514)
1126428187897720;1126436777816870;ВОИЛ;voillom@mail.ru;79880650595;;;;;;;;Россия, Астраханская область, Наримановский район, поселок Трусово, Школьная улица, 7И;47.960954;46.349561;POINT(47.960954 46.349561)
1126428187952210;1126436777858900;Флайт-Ком;;79033494205;;;;;;;;Россия, Астрахань, Бертюльская улица, 7;48.046411;46.366721;POINT(48.046411 46.366721)
1126428187999810;1126436777821740;Многопрофильная фирма;;79885935787;;;;;;;;Россия, Астрахань, Акмолинская улица, 28;47.938074;46.278102;POINT(47.938074 46.278102)
1126428187999820;1126436777763730;МИТ;;;;;;;;;;Россия, Астрахань, улица Дарвина, 50;48.044758;46.339234;POINT(48.044758 46.339234)
1126428187999820;1126436777763730;МИТ;;79885953803;;;;;;;;Россия, Астрахань, улица Чкалова, 133;47.953804;46.306784;POINT(47.953804 46.306784)
1126428188040050;1126436777821740;Многопрофильная фирма;;79885932021;;;;;;;;Россия, Астрахань, улица Адмирала Нахимова, 151А;47.987661;46.302756;POINT(47.987661 46.302756)
1126428188042840;1126436777924660;АВС;metal@avs.com.ru;78512522766;;avs.com.ru;;;;;;Россия, Астрахань, улица Бабаевского, 49Б;48.104182;46.400503;POINT(48.104182 46.400503)
1126428188042840;1126436777924660;АВС;metal@avs.com.ru;78512522766;;avs.com.ru;;;;;;Россия, Астрахань, улица Мосина, 1А;47.97566;46.422157;POINT(47.97566 46.422157)
1126428188115960;1126436777962170;Сириус;;78512399939;+7 (8512) 385342;;;;;;;Россия, Астрахань;48.033574;46.347869;POINT(48.033574 46.347869)
70000001007223600;70000001007223600;Пункт приема черных и цветных металлов;;;;;;;;;;Россия, Астрахань, улица Рождественского, 2Б;48.041758;46.317435;POINT(48.041758 46.317435)
1126428188121400;1126436777762190;Астраханьвторцветмет;;;;avcm2011.ru;;;;;;Россия, Астрахань, Магнитогорская улица, 6/9;48.057631;46.350631;POINT(48.057631 46.350631)
70000001022008200;70000001022008200;Промспецсервис АЦМ;;78512998553;79648888990;;;;;;;Россия, Астрахань, Краматорская улица, 194;48.137267;46.410768;POINT(48.137267 46.410768)
70000001026119900;70000001026119900;АстМеталлГрупп;;79270700007;;;;;;;;Россия, Астраханская область, Наримановский район, село Солянка, Николаевское шоссе, 6Б;48.000525;46.382831;POINT(48.000525 46.382831)
70000001027467200;70000001027467200;Пункт приема металлолома;;;;;;;;;;Россия, Астраханская область, Приволжский район, село Карагали, Мостовая улица, 9;47.989566;46.264926;POINT(47.989566 46.264926)
70000001027664100;70000001027664100;Союз-Лидер;;79616540745;;;;;;;;Россия, Астраханская область, Наримановский район, поселок Пригородный, улица Трусова, 1Б;48.00287;46.375526;POINT(48.00287 46.375526)
70000001028404500;70000001028404500;Верна;;79270766690;;ruk.su;;;;;;Россия, Астрахань, улица Николая Островского, 152к3;48.068923;46.336702;POINT(48.068923 46.336702)
70000001029157000;1126436777962170;Сириус;;79170899898;;;;;;;;Россия, Астраханская область, Наримановский район, село Солянка, Николаевское шоссе, 29;47.995315;46.380108;POINT(47.995315 46.380108)
70000001029157000;1126436777962170;Сириус;;79064596040;;;;;;;;Россия, Астрахань, село Новолесное, Промышленная улица, 2;47.973405;46.441517;POINT(47.973405 46.441517)
70000001029797600;1126436777962170;Сириус;;79170899090;;;;;;;;Россия, Астрахань, Автозаправочная улица, 13;48.104128;46.404927;POINT(48.104128 46.404927)
70000001029697800;70000001029697800;Рязанская Утилизирующая Компания;;79270766690;;ruk.su;;;;;;Россия, Астрахань, улица Николая Островского, 152к3;48.068923;46.336702;POINT(48.068923 46.336702)
70000001030114300;70000001030114300;Пункт приема цветного лома;;;;;;;;;;Россия, Астраханская область, Камызяк, улица Максима Горького, 74;48.070162;46.111002;POINT(48.070162 46.111002)
70000001031488400;70000001031488400;Пункт приема черного и цветного лома;;79064586287;;;;;;;;Россия, Астраханская область, Икрянинский район, село Икряное, Рыбацкая улица, 113;47.729665;46.071239;POINT(47.729665 46.071239)
70000001033714600;70000001033714600;Пункт приема лома;;79627546368;;;;;;;;Россия, Астрахань, улица Рождественского, 5И;48.045998;46.316831;POINT(48.045998 46.316831)
70000001033716000;70000001033716000;Астраханьвторцветмет;;79997239188;;;;;;;;Россия, Астрахань, улица Рождественского, 5;48.047498;46.317783;POINT(48.047498 46.317783)
70000001033872000;1126436777924660;АВС;metal@avs.com.ru;78512522766;;avs.com.ru;;;;;;Россия, Астрахань, улица Рождественского, 3;48.04324;46.317653;POINT(48.04324 46.317653)
70000001034523800;70000001034523800;Пункт приема цветных металлов;;79275652565;;;;;;;;Россия, Астрахань, улица Адмирала Нахимова, 221А;47.980636;46.29529;POINT(47.980636 46.29529)
70000001035319600;70000001035319600;ЦентрВторичногоМеталла;;79272856667;;Lom30.ru;;;;;;Россия, Астрахань, 3-я Вольная улица, 1А;48.096196;46.39067;POINT(48.096196 46.39067)
70000001036389500;70000001036389500;ВМС;;79276611777;;;;;https://instagram.com/metall_cvet;;;Россия, Астрахань, улица Джона Рида, 37Ц;48.057793;46.337486;POINT(48.057793 46.337486)
70000001036880100;70000001036880100;Югпроммет;;79375017888;+7 (8512) 995666;;;;;;;Россия, Астрахань, улица Рождественского, 5Г;48.046402;46.315966;POINT(48.046402 46.315966)
70000001037660100;70000001037660100;Сириус;;79275503003;79371375248;;;;;;;Россия, Алтайский край, Павловский район, посёлок Комсомольский, Степная улица;83.37433;53.267292;POINT(83.37433 53.267292)
70000001038887600;1126436777858900;Флайт-Ком;;79033494205;;;;;;;;Россия, Астрахань, улица Рождественского, 3;48.04324;46.317653;POINT(48.04324 46.317653)
70000001039544800;70000001039544800;Астраханская вторсырьевая компания;;79270700007;;;;;;;;Россия, Астраханская область, Наримановский район, поселок Пригородный, Казанская улица, 1А;47.991371;46.377627;POINT(47.991371 46.377627)
70000001039546000;70000001039546000;Пункт приема металлолома;;79275505999;;;;;;;;Россия, Астрахань, Ахтубинская улица, 2;48.078571;46.36909;POINT(48.078571 46.36909)
70000001039611600;70000001039611600;Центр авторазбора;;79880715534;79170989896;;;;;;;Россия, Астрахань, Августовская улица, 7А;48.082541;46.377447;POINT(48.082541 46.377447)
70000001040622500;70000001039544800;Астраханская вторсырьевая компания;;79270700007;;;;;;;;Россия, Астрахань, Магистральная улица, 22В;47.973818;46.414583;POINT(47.973818 46.414583)
70000001040644100;70000001040644100;ЛомовЪ;;79633506333;;astrakhan.priem-metallolom.com;;;;;;Россия, Астрахань, Ереванская улица, 10к2;48.086853;46.371074;POINT(48.086853 46.371074)
563478234416528;563486824350863;Алтайтранслом;;79069633365;79640862599;;;;;;;Россия, Алтайский край, Барнаул, Ткацкая улица, 79А;83.762717;53.374191;POINT(83.762717 53.374191)
563478234429200;563486824361018;Вторчермет НЛМК Сибирь, компания по приему и переработке металлолома;;73852573211;;www.uvchm.ru;;;;;;Россия, Алтайский край, Барнаул, Южный проезд, 11А;83.646718;53.314525;POINT(83.646718 53.314525)
563478234454013;563486824336328;Втормет;;79039476412;;;;;;;;Россия, Алтайский край, Барнаул, улица Попова, 254;83.626425;53.324804;POINT(83.626425 53.324804)
563478234512963;563486824336328;Втормет;;79635180016;;;;;;;;Россия, Алтайский край, Новоалтайск, улица П. Корчагина, 23;83.976633;53.38002;POINT(83.976633 53.38002)
563478234602690;563486824418307;МеталлоГрад;;73852289737;+7 (3852) 601727;www.metallograd22.ru;;;;;;Россия, Алтайский край, Барнаул, микрорайон Восточный, Бриллиантовая улица, 30;83.763202;53.382882;POINT(83.763202 53.382882)
563478234783399;563486824604407;АлМет;;73852358102;+7 (3852) 358155;almet22.ru;;;;;;Россия, Алтайский край, Барнаул, улица Кулагина, 18А;83.772832;53.3741;POINT(83.772832 53.3741)
563478234784567;563486824604407;АлМет;;73853246040;;almet22.ru;;;;;;Россия, Алтайский край, Новоалтайск, улица Ударника, 1/3;83.940161;53.384128;POINT(83.940161 53.384128)
563478234895099;70000001028359000;АлтайВторРесурс;;73852602185;+7 (3852) 602125;алтайвторресурс.рф.tilda.ws;;;;;;Россия, Алтайский край, Барнаул, Автотранспортная улица, 39А;83.721763;53.344215;POINT(83.721763 53.344215)
563478234983456;563486824586330;Барнаульская металлокомпания+;bmk.plus@mail.ru;73852529953;;;;;;;;Россия, Алтайский край, Барнаул, проспект Калинина, 15В;83.764927;53.366261;POINT(83.764927 53.366261)
563478235033451;563486824735425;НовоМет;;73852266463;;;;;;;;Россия, Алтайский край, Барнаул, микрорайон Восточный, Рубцовская улица, 5;83.787762;53.380986;POINT(83.787762 53.380986)
563478235033515;70000001018546900;ЦВЕТМЕТ;terra-barnaul@mail.ru;79059823945;;prommetplast.ru;;;;;;Россия, Алтайский край, Барнаул, Трактовая улица, 47;83.619813;53.311652;POINT(83.619813 53.311652)
563478235042421;563486824336328;Втормет;bdk22@yandex.ru;79333330332;;;;;;;;Россия, Алтайский край, Барнаул, улица Чернышевского, 293А;83.74935;53.326267;POINT(83.74935 53.326267)
563478235073411;563487924749818;ТСК плюс;skmetall2013@yandex.ru;73852774454;+7 (3852) 601193;barnaullom.ru;https://vk.com/club122000969;;;;;Россия, Алтайский край, Барнаул, улица Смирнова, 10;83.741121;53.366895;POINT(83.741121 53.366895)
563478235071023;563486824754172;БСЗ-Ресурс;;79833853795;79237288402;;;;;;;Россия, Алтайский край, Барнаул, улица Кулагина, 28;83.780414;53.37359;POINT(83.780414 53.37359)
563478235138723;70000001025175900;АГАТ;;73852502522;;;;;;;;Россия, Алтайский край, Барнаул, улица Челюскинцев, 115В;83.753473;53.334978;POINT(83.753473 53.334978)
563478235215967;563486824827766;Компания по приему металлолома;;79132157804;;;;;;;;Россия, Алтайский край, Барнаул, улица Короленко, 118к3;83.776812;53.330058;POINT(83.776812 53.330058)
563478235226482;563486824728411;АлтайСплав;;79132272216;+7 (38532) 53064;frigatecroup.ru;;;;;;Россия, Алтайский край, Новоалтайск, улица Промплощадка, 10/3;83.920829;53.434418;POINT(83.920829 53.434418)
563479234790876;563486824336328;Втормет;;79236522899;;;;;;;;Россия, Алтайский край, Барнаул, Весенняя улица, 19к2;83.627601;53.306008;POINT(83.627601 53.306008)
563479234662802;563486824336328;Втормет;;79059831167;;;;;;;;Россия, Алтайский край, Новоалтайск, улица Промплощадка, 51;83.920749;53.426279;POINT(83.920749 53.426279)
70000001006561800;563487924749818;ТСК плюс;skmetall2013@yandex.ru;73852601193;;barnaullom.ru;;;;;;Россия, Алтайский край, Барнаул, Трактовая улица, 19;83.610857;53.325137;POINT(83.610857 53.325137)
70000001006371300;70000001006371300;Алкор;lom22com@mail.ru;79132297053;;;;;;;;Россия, Алтайский край, Барнаул, улица Германа Титова, 4Д/1;83.733935;53.385697;POINT(83.733935 53.385697)
70000001006608400;563486824336328;Втормет;;79039105812;;;;;;;;Россия, Алтайский край, Барнаул, улица Малахова, 2Д/1;83.709132;53.391556;POINT(83.709132 53.391556)
70000001007191400;70000001025107200;АлтайВторРесурс;;73852529775;79646039775;metall22.com;;;;;;Россия, Алтайский край, Барнаул, улица Малахова, 2Д/1;83.709132;53.391556;POINT(83.709132 53.391556)
70000001017242500;70000001017242500;Перспектива;;79039104503;;;;;;;;Россия, Алтайский край, Барнаул, 9-й Заводской проезд, 34А;83.723425;53.394063;POINT(83.723425 53.394063)
70000001007224300;563486824336328;Втормет;;79059258742;;;;;;;;Россия, Алтайский край, Барнаул, проспект Космонавтов, 14/7к3;83.691696;53.392399;POINT(83.691696 53.392399)
70000001018289800;70000001025107200;АлтайВторРесурс;;73852529054;;metall22.com;;;;;;Россия, Алтайский край, Барнаул, проспект Калинина, 22Г;83.765349;53.368883;POINT(83.765349 53.368883)
70000001017906000;70000001007520300;Энсима;;73852581493;;;;;;;;Россия, Алтайский край, Барнаул, улица Гридасова, 30;83.699961;53.331628;POINT(83.699961 53.331628)
70000001019564600;563486824735425;НовоМет;;73852581401;;;;;;;;Россия, Алтайский край, Барнаул, улица Мамонтова, 301;83.770281;53.318758;POINT(83.770281 53.318758)
70000001024419100;2815286638023150;АлтайЛом;;79059269122;;;;;;;;Россия, Алтайский край, Бийск, Граничная улица, 29А;85.297722;52.563062;POINT(85.297722 52.563062)
70000001029538700;2815286638023120;Втормет;;79039956462;;;;;;;;Россия, Алтайский край, Бийск, улица Ефима Мамонтова, 11к2;85.115032;52.552463;POINT(85.115032 52.552463)
70000001034263000;70000001034263000;Монолит+;;79069629616;;;;;;;;Россия, Алтайский край, Смоленский район, село Смоленское, Лесхозная улица, 5Е;85.103399;52.304833;POINT(85.103399 52.304833)
70000001034269000;2815286638023150;АлтайЛом;crawleradmin.t-info@telekom.de;;;;;;;;;Россия, Алтайский край, Смоленский район, село Смоленское, Заводская улица, 30;85.080914;52.311038;POINT(85.080914 52.311038)
70000001036804000;2815286638023150;АлтайЛом;;;;;;;;;;Россия, Алтайский край, Бийск, улица Ефима Мамонтова, 18/2;85.137346;52.542173;POINT(85.137346 52.542173)
70000001038276200;2815286638023150;АлтайЛом;;79964556597;;;;;;;;Россия, Алтайский край, Бийск;85.21382;52.539297;POINT(85.21382 52.539297)
70000001039924800;70000001039924800;Лом;;79627927222;;;;;;;;Россия, Алтайский край, городской округ Бийск, посёлок Нагорный, Яминская улица, 40Г;85.23343;52.566582;POINT(85.23343 52.566582)
70000001019630800;70000001019630200;Мета-лайн;office@ferrum28.ru;74162211671;;;;;;;;Россия, Амурская область, Благовещенск, Трудовая улица, 235А;127.555866;50.305026;POINT(127.555866 50.305026)
70000001032110300;70000001032110300;ТД ПРАЙМ ЦЕНТР;;79145618914;79145858914;;;;;;;Россия, Амурская область, Благовещенский район, село Чигири, Центральная улица, 1;127.518343;50.331311;POINT(127.518343 50.331311)
